value,source,target,sex,year
4.82096,"Fire, heat, and hot substances","Injury to eyes (including foreign body eye)","female",2013
.0449202,"Pulmonary aspiration and foreign body in airway","Fracture of face bone","female",2013
3.421889,"Pulmonary aspiration and foreign body in airway","Fracture of patella, tibia, fibula, or ankle","female",2013
.3261559,"Pulmonary aspiration and foreign body in airway","Fracture of radius or ulna","female",2013
2.794925,"Pulmonary aspiration and foreign body in airway","Dislocation of shoulder","female",2013
.0300741,"Pulmonary aspiration and foreign body in airway","Dislocation of hip","female",2013
1.207842,"Pulmonary aspiration and foreign body in airway","Spinal cord lesion at neck level","female",2013
15.24607,"Pulmonary aspiration and foreign body in airway","Fracture of neck of femur","female",2013
.2742299,"Pulmonary aspiration and foreign body in airway","Fracture of pelvis","female",2013
.1754673,"Pulmonary aspiration and foreign body in airway","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2013
.5127891,"Pulmonary aspiration and foreign body in airway","Fracture of foot bone","female",2013
1.018067,"Pulmonary aspiration and foreign body in airway","Internal hemorrhage in abdomen or pelvis","female",2013
2.463206,"Pulmonary aspiration and foreign body in airway","Multiple significant injuries","female",2013
1.5981,"Pulmonary aspiration and foreign body in airway","Other injuries of muscle & tendon and other dislocations","female",2013
.1881815,"Pulmonary aspiration and foreign body in airway","Burns with <20% total burned surface area","female",2013
.6273264,"Pulmonary aspiration and foreign body in airway","Fracture of vertebral column","female",2013
.2253536,"Pulmonary aspiration and foreign body in airway","Injured nerves","female",2013
.1520671,"Pulmonary aspiration and foreign body in airway","Fracture of clavicle, scapula, or humerus","female",2013
.3063468,"Pulmonary aspiration and foreign body in airway","Fracture of hand bone","female",2013
.1528193,"Pulmonary aspiration and foreign body in airway","Spinal cord lesion below neck level","female",2013
.3780201,"Pulmonary aspiration and foreign body in airway","Minor traumatic brain injury","female",2013
8.740136,"Pulmonary aspiration and foreign body in airway","Complications of medical treatment","female",2013
1.264225,"Pulmonary aspiration and foreign body in airway","Fracture of femur, other than femoral neck","female",2013
.0367567,"Pulmonary aspiration and foreign body in airway","Crush injury","female",2013
.3897989,"Pulmonary aspiration and foreign body in airway","Severe chest Injury","female",2013
.0727294,"Pulmonary aspiration and foreign body in airway","Contusion","female",2013
.5592993,"Pulmonary aspiration and foreign body in airway","Moderate to severe traumatic brain injury","female",2013
7.596299,"Pulmonary aspiration and foreign body in airway","Poisoning","female",2013
.147168,"Pulmonary aspiration and foreign body in airway","Injury to eyes (including foreign body eye)","female",2013
.0177085,"Pulmonary aspiration and foreign body in airway","Fracture of sternum or rib(s)","female",2013
.363771,"Pulmonary aspiration and foreign body in airway","Open wound","female",2013
.1495719,"Pulmonary aspiration and foreign body in airway","Dislocation of knee","female",2013
.0631602,"Pulmonary aspiration and foreign body in airway","Fracture of skull","female",2013
.3143863,"Pulmonary aspiration and foreign body in airway","Non-fatal submersion","female",2013
.2608061,"Pulmonary aspiration and foreign body in airway","Environmental factors (e.g. temperature, pressure, electricity)","female",2013
.367151,"Foreign body in eyes","Minor traumatic brain injury","female",2013
.7033881,"Foreign body in eyes","Poisoning","female",2013
.8168445,"Foreign body in eyes","Moderate to severe traumatic brain injury","female",2013
.0540394,"Foreign body in eyes","Dislocation of knee","female",2013
1.096022,"Foreign body in eyes","Fracture of patella, tibia, fibula, or ankle","female",2013
44.27564,"Foreign body in eyes","Complications of medical treatment","female",2013
.3097422,"Foreign body in eyes","Fracture of skull","female",2013
.3313148,"Foreign body in eyes","Fracture of pelvis","female",2013
.2232341,"Foreign body in eyes","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2013
.5252765,"Foreign body in eyes","Fracture of femur, other than femoral neck","female",2013
.16243,"Foreign body in eyes","Burns with <20% total burned surface area","female",2013
.0920911,"Foreign body in eyes","Dislocation of shoulder","female",2013
.0314818,"Foreign body in eyes","Fracture of face bone","female",2013
.3614786,"Foreign body in eyes","Fracture of foot bone","female",2013
.0107527,"Foreign body in eyes","Severe chest Injury","female",2013
2.682423,"Foreign body in eyes","Open wound","female",2013
.3081732,"Foreign body in eyes","Fracture of vertebral column","female",2013
.0139102,"Foreign body in eyes","Fracture of clavicle, scapula, or humerus","female",2013
.1039932,"Foreign body in eyes","Crush injury","female",2013
.5836481,"Foreign body in eyes","Spinal cord lesion at neck level","female",2013
8.872787,"Foreign body in eyes","Injury to eyes (including foreign body eye)","female",2013
.5570698,"Foreign body in eyes","Contusion","female",2013
7.385779,"Foreign body in eyes","Internal hemorrhage in abdomen or pelvis","female",2013
4.38728,"Foreign body in eyes","Spinal cord lesion below neck level","female",2013
.2190944,"Foreign body in eyes","Multiple significant injuries","female",2013
.0186216,"Foreign body in eyes","Dislocation of hip","female",2013
.2447278,"Foreign body in eyes","Other injuries of muscle & tendon and other dislocations","female",2013
2.514503,"Foreign body in eyes","Fracture of neck of femur","female",2013
.0947309,"Foreign body in eyes","Environmental factors (e.g. temperature, pressure, electricity)","female",2013
.0517137,"Foreign body in eyes","Fracture of radius or ulna","female",2013
.7324404,"Foreign body in eyes","Injured nerves","female",2013
.1066324,"Foreign body in eyes","Fracture of hand bone","female",2013
.0047273,"Foreign body in eyes","Fracture of sternum or rib(s)","female",2013
2.062617,"Foreign body in other body part","Injured nerves","female",2013
.0874866,"Foreign body in other body part","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2013
.763587,"Foreign body in other body part","Spinal cord lesion below neck level","female",2013
15.75359,"Foreign body in other body part","Injury to eyes (including foreign body eye)","female",2013
.9475484,"Foreign body in other body part","Fracture of skull","female",2013
.3930829,"Foreign body in other body part","Fracture of femur, other than femoral neck","female",2013
20.99778,"Foreign body in other body part","Complications of medical treatment","female",2013
.0666074,"Foreign body in other body part","Amputation of finger (excluding thumb)","female",2013
.042855,"Foreign body in other body part","Dislocation of hip","female",2013
14.59361,"Foreign body in other body part","Fracture of neck of femur","female",2013
.0120239,"Foreign body in other body part","Non-fatal submersion","female",2013
1.905056,"Foreign body in other body part","Multiple significant injuries","female",2013
.1798996,"Foreign body in other body part","Dislocation of shoulder","female",2013
.2550323,"Foreign body in other body part","Fracture of pelvis","female",2013
.6016062,"Foreign body in other body part","Moderate to severe traumatic brain injury","female",2013
.0018084,"Foreign body in other body part","Fracture of sternum or rib(s)","female",2013
.2983727,"Foreign body in other body part","Fracture of foot bone","female",2013
5.920476,"Foreign body in other body part","Contusion","female",2013
.2911568,"Foreign body in other body part","Minor traumatic brain injury","female",2013
1.333448,"Foreign body in other body part","Fracture of hand bone","female",2013
.2842811,"Foreign body in other body part","Fracture of radius or ulna","female",2013
.0544683,"Foreign body in other body part","Fracture of face bone","female",2013
.5312133,"Foreign body in other body part","Burns with <20% total burned surface area","female",2013
1.710378,"Foreign body in other body part","Other injuries of muscle & tendon and other dislocations","female",2013
.0172712,"Foreign body in other body part","Crush injury","female",2013
37.80561,"Foreign body in other body part","Internal hemorrhage in abdomen or pelvis","female",2013
1.322617,"Foreign body in other body part","Fracture of vertebral column","female",2013
.2932974,"Foreign body in other body part","Spinal cord lesion at neck level","female",2013
66.56107,"Foreign body in other body part","Poisoning","female",2013
.2705522,"Foreign body in other body part","Environmental factors (e.g. temperature, pressure, electricity)","female",2013
.0174786,"Foreign body in other body part","Fracture of clavicle, scapula, or humerus","female",2013
1.485108,"Foreign body in other body part","Fracture of patella, tibia, fibula, or ankle","female",2013
.0070235,"Foreign body in other body part","Dislocation of knee","female",2013
.7507957,"Foreign body in other body part","Severe chest Injury","female",2013
98.03392,"Foreign body in other body part","Open wound","female",2013
.0451373,"Assault by firearm","Amputation of finger (excluding thumb)","female",2013
.2419846,"Assault by firearm","Fracture of clavicle, scapula, or humerus","female",2013
.0399643,"Assault by firearm","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2013
13.66983,"Assault by firearm","Fracture of vertebral column","female",2013
.1579478,"Assault by firearm","Environmental factors (e.g. temperature, pressure, electricity)","female",2013
.1155282,"Assault by firearm","Dislocation of shoulder","female",2013
4.030934,"Assault by firearm","Multiple significant injuries","female",2013
2.550213,"Assault by firearm","Fracture of skull","female",2013
5.025763,"Assault by firearm","Spinal cord lesion at neck level","female",2013
.1106152,"Assault by firearm","Fracture of face bone","female",2013
.6452544,"Assault by firearm","Severe chest Injury","female",2013
.0021613,"Assault by firearm","Non-fatal submersion","female",2013
.9448704,"Assault by firearm","Fracture of foot bone","female",2013
20.67802,"Assault by firearm","Poisoning","female",2013
3.436782,"Assault by firearm","Moderate to severe traumatic brain injury","female",2013
3.591117,"Assault by firearm","Contusion","female",2013
10.93037,"Assault by firearm","Fracture of patella, tibia, fibula, or ankle","female",2013
1.302193,"Assault by firearm","Fracture of hand bone","female",2013
.2499661,"Assault by firearm","Burns with <20% total burned surface area","female",2013
3.287957,"Assault by firearm","Complications of medical treatment","female",2013
20.67374,"Assault by firearm","Open wound","female",2013
.4092556,"Assault by firearm","Injury to eyes (including foreign body eye)","female",2013
.1379999,"Assault by firearm","Crush injury","female",2013
10.65805,"Assault by firearm","Spinal cord lesion below neck level","female",2013
.469682,"Assault by firearm","Fracture of radius or ulna","female",2013
.9429809,"Assault by firearm","Injured nerves","female",2013
2.963634,"Assault by firearm","Fracture of neck of femur","female",2013
3.891355,"Assault by firearm","Fracture of femur, other than femoral neck","female",2013
.0395113,"Assault by firearm","Dislocation of knee","female",2013
.0593761,"Assault by firearm","Dislocation of hip","female",2013
.4675878,"Assault by firearm","Other injuries of muscle & tendon and other dislocations","female",2013
4.224197,"Assault by firearm","Fracture of pelvis","female",2013
7.550982,"Assault by firearm","Internal hemorrhage in abdomen or pelvis","female",2013
.0031898,"Assault by firearm","Fracture of sternum or rib(s)","female",2013
1.340464,"Assault by firearm","Minor traumatic brain injury","female",2013
.0298744,"Assault by sharp object","Fracture of sternum or rib(s)","female",2013
3.725631,"Assault by sharp object","Contusion","female",2013
1.16739,"Assault by sharp object","Injury to eyes (including foreign body eye)","female",2013
.2743212,"Assault by sharp object","Fracture of clavicle, scapula, or humerus","female",2013
.3862451,"Assault by sharp object","Environmental factors (e.g. temperature, pressure, electricity)","female",2013
.4635282,"Assault by sharp object","Crush injury","female",2013
2.03307,"Assault by sharp object","Fracture of hand bone","female",2013
.1924215,"Assault by sharp object","Dislocation of hip","female",2013
1.298799,"Assault by sharp object","Minor traumatic brain injury","female",2013
.0742292,"Assault by sharp object","Dislocation of knee","female",2013
3.584441,"Assault by sharp object","Moderate to severe traumatic brain injury","female",2013
.4677348,"Assault by sharp object","Fracture of radius or ulna","female",2013
4.426954,"Assault by sharp object","Spinal cord lesion below neck level","female",2013
.0526006,"Assault by sharp object","Non-fatal submersion","female",2013
3.583609,"Assault by sharp object","Spinal cord lesion at neck level","female",2013
1.9845,"Assault by sharp object","Fracture of femur, other than femoral neck","female",2013
3.163594,"Assault by sharp object","Poisoning","female",2013
1.233546,"Assault by sharp object","Severe chest Injury","female",2013
4.821053,"Assault by sharp object","Fracture of neck of femur","female",2013
1.196989,"Assault by sharp object","Dislocation of shoulder","female",2013
.8294643,"Assault by sharp object","Fracture of pelvis","female",2013
.6952658,"Assault by sharp object","Burns with <20% total burned surface area","female",2013
1.047502,"Assault by sharp object","Fracture of foot bone","female",2013
.108552,"Assault by sharp object","Fracture of face bone","female",2013
13.25731,"Assault by sharp object","Complications of medical treatment","female",2013
3.899507,"Assault by sharp object","Other injuries of muscle & tendon and other dislocations","female",2013
3.885201,"Assault by sharp object","Injured nerves","female",2013
58.42384,"Assault by sharp object","Open wound","female",2013
14.6284,"Assault by sharp object","Internal hemorrhage in abdomen or pelvis","female",2013
4.315866,"Assault by sharp object","Fracture of patella, tibia, fibula, or ankle","female",2013
17.12241,"Assault by sharp object","Multiple significant injuries","female",2013
.4891041,"Assault by sharp object","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2013
3.021432,"Assault by sharp object","Fracture of skull","female",2013
.1994573,"Assault by sharp object","Amputation of finger (excluding thumb)","female",2013
1.869923,"Assault by sharp object","Fracture of vertebral column","female",2013
11.06397,"Assault by other means","Spinal cord lesion below neck level","female",2013
27.56497,"Assault by other means","Complications of medical treatment","female",2013
8.958336,"Assault by other means","Fracture of skull","female",2013
.6306919,"Assault by other means","Dislocation of hip","female",2013
2.774037,"Assault by other means","Dislocation of shoulder","female",2013
.6921512,"Assault by other means","Crush injury","female",2013
.7345142,"Assault by other means","Severe chest Injury","female",2013
.1041852,"Assault by other means","Non-fatal submersion","female",2013
35.26378,"Assault by other means","Fracture of neck of femur","female",2013
.0342628,"Assault by other means","Amputation of finger (excluding thumb)","female",2013
1.220427,"Assault by other means","Fracture of clavicle, scapula, or humerus","female",2013
1.717005,"Assault by other means","Fracture of face bone","female",2013
25.92289,"Assault by other means","Fracture of vertebral column","female",2013
8.288775,"Assault by other means","Burns with <20% total burned surface area","female",2013
76.78851,"Assault by other means","Multiple significant injuries","female",2013
104.963,"Assault by other means","Open wound","female",2013
18.60806,"Assault by other means","Minor traumatic brain injury","female",2013
13.43677,"Assault by other means","Internal hemorrhage in abdomen or pelvis","female",2013
2.034384,"Assault by other means","Fracture of foot bone","female",2013
1.502363,"Assault by other means","Fracture of sternum or rib(s)","female",2013
8.726706,"Assault by other means","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2013
14.20789,"Assault by other means","Fracture of femur, other than femoral neck","female",2013
2.828613,"Assault by other means","Injured nerves","female",2013
2.062954,"Assault by other means","Injury to eyes (including foreign body eye)","female",2013
31.99448,"Assault by other means","Contusion","female",2013
4.238117,"Assault by other means","Other injuries of muscle & tendon and other dislocations","female",2013
5.498442,"Assault by other means","Fracture of radius or ulna","female",2013
2.473478,"Assault by other means","Environmental factors (e.g. temperature, pressure, electricity)","female",2013
5.638494,"Assault by other means","Fracture of pelvis","female",2013
61.8025,"Assault by other means","Poisoning","female",2013
27.66401,"Assault by other means","Moderate to severe traumatic brain injury","female",2013
.1595639,"Assault by other means","Dislocation of knee","female",2013
15.1103,"Assault by other means","Fracture of hand bone","female",2013
7.501256,"Assault by other means","Spinal cord lesion at neck level","female",2013
32.1442,"Assault by other means","Fracture of patella, tibia, fibula, or ankle","female",2013
42.34735,"Unintentional firearm injuries","Open wound","female",2013
1.952137,"Unintentional firearm injuries","Fracture of radius or ulna","female",2013
1.628127,"Unintentional firearm injuries","Fracture of skull","female",2013
4.14253,"Unintentional firearm injuries","Poisoning","female",2013
1.712872,"Unintentional firearm injuries","Fracture of foot bone","female",2013
3.363922,"Unintentional firearm injuries","Multiple significant injuries","female",2013
10.59522,"Unintentional firearm injuries","Internal hemorrhage in abdomen or pelvis","female",2013
.1621738,"Unintentional firearm injuries","Crush injury","female",2013
2.322156,"Unintentional firearm injuries","Contusion","female",2013
1.217228,"Unintentional firearm injuries","Other injuries of muscle & tendon and other dislocations","female",2013
5.946929,"Unintentional firearm injuries","Fracture of vertebral column","female",2013
.1073962,"Unintentional firearm injuries","Environmental factors (e.g. temperature, pressure, electricity)","female",2013
.1041314,"Unintentional firearm injuries","Fracture of sternum or rib(s)","female",2013
24.39334,"Unintentional firearm injuries","Complications of medical treatment","female",2013
.3595718,"Unintentional firearm injuries","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2013
.1037505,"Unintentional firearm injuries","Dislocation of knee","female",2013
6.012254,"Unintentional firearm injuries","Fracture of femur, other than femoral neck","female",2013
3.565575,"Unintentional firearm injuries","Moderate to severe traumatic brain injury","female",2013
16.88758,"Unintentional firearm injuries","Fracture of hand bone","female",2013
.137246,"Unintentional firearm injuries","Dislocation of hip","female",2013
1.877223,"Unintentional firearm injuries","Injury to eyes (including foreign body eye)","female",2013
14.96129,"Unintentional firearm injuries","Fracture of neck of femur","female",2013
.3543965,"Unintentional firearm injuries","Fracture of clavicle, scapula, or humerus","female",2013
20.12375,"Unintentional firearm injuries","Fracture of patella, tibia, fibula, or ankle","female",2013
.0029843,"Unintentional firearm injuries","Non-fatal submersion","female",2013
.4253641,"Unintentional firearm injuries","Minor traumatic brain injury","female",2013
4.885842,"Unintentional firearm injuries","Spinal cord lesion below neck level","female",2013
.1593191,"Unintentional firearm injuries","Fracture of face bone","female",2013
3.386343,"Unintentional firearm injuries","Dislocation of shoulder","female",2013
.9973381,"Unintentional firearm injuries","Amputation of finger (excluding thumb)","female",2013
2.598561,"Unintentional firearm injuries","Injured nerves","female",2013
3.183604,"Unintentional firearm injuries","Fracture of pelvis","female",2013
6.217346,"Unintentional firearm injuries","Spinal cord lesion at neck level","female",2013
.8078664,"Unintentional firearm injuries","Burns with <20% total burned surface area","female",2013
.5349202,"Unintentional firearm injuries","Severe chest Injury","female",2013
